Anime,Director
Demon Slayer: Kimetsu no Yaiba - Entertainment District Arc, Haruo Sotozaki
Fullmetal Alchemist: Brotherhood, Yasuhiro Irie
Attack on Titan 3rd Season: Part II, Masashi Koizuka
Jujutsu Kaisen, Seong-Hu Park
Haikyuu!! Karasuno High School vs Shiratorizawa Academy, Susumu Mitsunaka
Haikyuu!! Second Season, Susumu Mitsunaka
Demon Slayer: Kimetsu no Yaiba, Haruo Sotozaki
Hunter x Hunter (2011), Hiroshi Koujina
Haikyuu!! To the Top: Part II, Masako Satou
That Time I Got Reincarnated as a Slime Season 2, Atsushi Nakayama
Given, Hikaru Yamaguchi
Gintama: The Very Final, Chizuru Miyawaki
Link Click, Li Haoling
Mob Psycho 100 II, Yuzuru Tachikawa
Haikyuu!! To the Top, Masako Satou
The Promised Neverland, Mamoru Kanbe
Heaven Official's Blessing, Li Haoling
Ranking of Kings, Yousuke Hatta
Gintama.: Shirogane no Tamashii-hen 2, Chizuru Miyawaki
Clannad After Story, Tatsuya Ishihara
Gintama': Enchousen, Youichi Fujita
Douluo Dalu 2, Hong Yu Tang
Douluo Dalu 2, Le Ping Shen
Gintama., Chizuru Miyawaki
Gintama.: Shirogane no Tamashii-hen, Chizuru Miyawaki
Attack on Titan 3rd Season, Masashi Koizuka
Steins;Gate, Hiroshi Hamasaki
Steins;Gate, Takuya Satou
Haikyuu!!, Susumu Mitsunaka
Gintama', Youichi Fujita
One-Punch Man, Shingo Natsume
Gintama°, Chizuru Miyawaki
Natsume's Book of Friends Season 6, Kotomi Deai
JoJo's Bizarre Adventure: Golden Wind, Hideya Takahashi
JoJo's Bizarre Adventure: Golden Wind, Yasuhiro Kimura
JoJo's Bizarre Adventure: Stone Ocean, Toshiyuki Katou
Natsume's Book of Friends Season 4, Takahiro Oomori
Assassination Classroom 2nd Season, Seiji Kishi
Natsume's Book of Friends Season 5, Kotomi Deai
My Hero Academia 3, Kenji Nagasaki
Violet Evergarden, Taichi Ishidate
Violet Evergarden, Haruka Fujita
That Time I Got Reincarnated as a Slime, Yasuhito Kikuchi
My Hero Academia 2, Kenji Nagasaki
Hajime no Ippo: The Fighting!, Satoshi Nishimura
JoJo’s Bizarre Adventure: Stardust Crusaders - Battle in Egypt, Kenichi Suzuki
JoJo’s Bizarre Adventure: Stardust Crusaders - Battle in Egypt, Naokatsu Tsuda
Yona of the Dawn: Zeno Arc, Kazuhiro Yoneda
JoJo's Bizarre Adventure: Diamond is Unbreakable, Toshiyuki Katou
JoJo's Bizarre Adventure: Diamond is Unbreakable, Naokatsu Tsuda
Kamisama Kiss: Kako-hen, Akitarou Daichi
Hajime no Ippo: New Challenger, Jun Shishido
Mushishi Zoku Shou 2nd Season, Hiroshi Nagahama
Haikyuu!! Tokushuu! Harukou Volley ni Kaketa Seishun, Susumu Mitsunaka
Gintama: Porori-hen, Chizuru Miyawaki
Natsume's Book of Friends Season 3, Takahiro Oomori
Given Movie, Hikaru Yamaguchi
Mushishi Zoku Shou, Hiroshi Nagahama
Kuroko's Basketball 3, Shunsuke Tada
Attack on Titan: No Regrets, Tetsurou Araki
Horimiya, Masashi Ishihama
The Disastrous Life of Saiki K. 2nd Season, Hiroaki Sakurai
Castlevania Season 4, Amanda Sitareh B.
ERASED, Tomohiko Itou
Hajime no Ippo: Rising, Jun Shishido
"Josee, the Tiger and the Fish", Koutarou Tamura
Rurouni Kenshin: Tsuiokuhen, Kazuhiro Furuhashi
Natsume's Book of Friends Season 2, Takahiro Oomori
Made in Abyss Movie: Dawn of the Deep Soul, Masayuki Kojima
My Hero Academia 4, Masahiro Mukai
Great Teacher Onizuka, Noriyuki Abe
Your lie in April, Kyouhei Ishiguro
Bungo Stray Dogs 3rd Season, Takuya Igarashi
Kamisama Kiss 2nd Season, Akitarou Daichi
Mob Psycho 100, Yuzuru Tachikawa
Kuroko's Basketball 2, Shunsuke Tada
Natsume's Book of Friends Movie: Ephemeral Bond, Hideki Itou
Death Note, Tetsurou Araki
One Piece Movie 14: Stampede, Takashi Ootsuka
Kingdom 3, Kenichi Imaizumi
Kingdom 3, Kazuya Monma
One Piece, Tatsuya Nagamine
One Piece, Konousuke Uda
One Piece, Hiroaki Miyamoto
One Piece, Junji Shimizu
One Piece, Munehisa Sakai
One Piece, Toshinori Fukuzawa
One Piece, Satoshi Itou
Mushishi: Hihamukage, Hiroshi Nagahama
Tokyo Revengers, Kouichi Hatsumi
My Hero Academia Movie 2: Heroes:Rising, Kenji Nagasaki
My Hero Academia, Kenji Nagasaki
Steins;Gate Movie: Load Region of Deja Vu, Kanji Wakabayashi
KonoSuba – God’s blessing on this wonderful world! Movie: Legend of Crimson, Takaomi Kanasaki
Yuri!!! on Ice, Sayo Yamamoto
Bunny Drop, Kanta Kamei
Gintama: Shinyaku Benizakura-hen, Shinji Takamatsu
Bakuman. 3, Kenichi Kasai
Bakuman. 3, Noriaki Akitaya
The Disastrous Life of Saiki K., Hiroaki Sakurai
Given: Uragawa no Sonzai, Akiyo Oohashi
Black Butler: Book of the Atlantic, Noriyuki Abe
Kono Oto Tomare! 2nd Season, Ryouma Mizuno
Mushishi Zoku Shou: Suzu no Shizuku, Hiroshi Nagahama
Overlord III, Naoyuki Itou
Re:ZERO -Starting Life in Another World- Season 2: Part II, Masaharu Watanabe
Saga of Tanya the Evil Movie, Yutaka Uemura
Mushishi Zoku Shou: Odoro no Michi, Hiroshi Nagahama
The Disastrous Life of Saiki K. 3, Hiroaki Sakurai
